Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
"4514 Gallery, museum or tour guide",TAS,520,"32,899","29,209","5,364","3,802","34,148","30,721"
"4514 Gallery, museum or tour guide",VIC,784,"34,333","30,065","5,644","3,959","35,685","32,046"
"4514 Gallery, museum or tour guide",WA,503,"36,065","32,895","5,971","4,582","37,559","34,369"
4515 Personal care consultant,ACT,11,"25,198","25,471","2,623","2,116","25,500","25,675"
4515 Personal care consultant,NSW,285,"34,206","27,886","5,323","2,879","36,169","29,710"
4515 Personal care consultant,NT,12,"20,382","18,475","2,971","2,284","21,216","18,475"
4515 Personal care consultant,QLD,214,"28,410","23,949","4,271","1,881","29,606","24,488"
4515 Personal care consultant,SA,45,"24,616","20,837","4,217","2,563","26,793","22,520"
4515 Personal care consultant,TAS,29,"30,352","25,217","3,741","2,314","31,303","27,193"
4515 Personal care consultant,VIC,299,"32,505","23,871","5,476","2,381","33,788","24,838"
4515 Personal care consultant,WA,146,"23,431","19,234","3,205","1,822","26,256","20,063"
4516 Tourism or travel adviser,ACT,289,"54,625","49,630","11,098","9,510","56,956","52,056"
4516 Tourism or travel adviser,NSW,"7,039","51,147","46,030","10,007","8,260","53,869","48,827"
4516 Tourism or travel adviser,NT,165,"50,367","45,327","11,064","8,989","53,061","48,566"
4516 Tourism or travel adviser,QLD,"4,830","48,976","44,652","9,653","7,933","51,957","47,784"
4516 Tourism or travel adviser,SA,"1,427","46,682","43,693","8,661","7,565","49,917","46,997"
4516 Tourism or travel adviser,TAS,427,"51,889","44,335","8,797","7,679","54,162","46,903"
4516 Tourism or travel adviser,VIC,"5,020","49,715","45,303","9,646","7,940","52,475","48,101"
4516 Tourism or travel adviser,WA,"2,024","46,084","43,321","8,853","7,524","48,578","45,589"
4517 Travel attendant,ACT,83,"55,282","49,834","11,651","9,212","58,792","52,500"
4517 Travel attendant,NSW,"4,508","60,749","56,048","13,750","12,107","65,933","61,467"
4517 Travel attendant,NT,66,"47,508","46,757","10,157","9,305","50,172","52,027"
4517 Travel attendant,QLD,"2,877","53,998","50,172","11,864","10,451","58,150","54,795"
4517 Travel attendant,SA,577,"53,062","50,065","11,912","10,679","56,874","54,481"
4517 Travel attendant,TAS,115,"61,460","58,520","16,204","15,470","64,716","63,292"
4517 Travel attendant,VIC,"2,830","56,944","51,965","12,703","11,106","61,155","56,338"
4517 Travel attendant,WA,"1,340","52,343","47,618","11,770","9,324","55,472","51,006"
4518 Other personal service worker,ACT,116,"28,817","23,550","4,244","2,174","29,731","24,198"
4518 Other personal service worker,NSW,"2,231","28,397","22,570","4,186","2,113","29,461","23,344"
4518 Other personal service worker,NT,61,"34,673","32,927","5,911","3,878","35,887","33,389"
4518 Other personal service worker,QLD,"1,312","28,619","25,195","4,238","2,450","29,984","26,175"
4518 Other personal service worker,SA,452,"27,947","24,246","3,415","1,810","29,281","25,221"
4518 Other personal service worker,TAS,90,"29,614","26,551","4,365","2,360","30,820","28,102"
4518 Other personal service worker,VIC,"1,713","27,698","22,782","4,263","2,430","28,921","23,824"
4518 Other personal service worker,WA,846,"28,583","23,013","4,409","2,156","29,914","24,215"
4521 Fitness instructor,ACT,431,"39,366","32,031","6,456","3,801","41,725","34,092"
4521 Fitness instructor,NSW,"5,642","38,879","32,316","6,109","3,749","41,141","34,511"
4521 Fitness instructor,NT,105,"36,592","34,306","7,438","5,346","38,779","37,574"
4521 Fitness instructor,QLD,"2,936","34,147","28,581","4,889","2,780","36,213","30,792"
4521 Fitness instructor,SA,927,"33,574","27,774","4,433","2,612","35,558","29,538"
4521 Fitness instructor,TAS,263,"35,120","29,768","5,429","3,512","37,093","31,203"
4521 Fitness instructor,VIC,"4,657","36,394","30,095","5,618","3,313","38,528","32,139"
4521 Fitness instructor,WA,"2,037","34,967","27,750","5,383","3,127","37,030","29,971"
4522 Outdoor adventure guide,ACT,27,"36,735","31,167","6,275","4,109","39,238","31,957"
4522 Outdoor adventure guide,NSW,878,"32,663","28,268","6,126","4,219","34,966","30,193"
4522 Outdoor adventure guide,NT,51,"41,655","39,620","9,602","6,834","43,702","43,417"
4522 Outdoor adventure guide,QLD,505,"37,657","33,623","7,181","5,274","40,296","36,582"
4522 Outdoor adventure guide,SA,204,"34,505","27,956","5,982","3,623","36,984","30,747"
4522 Outdoor adventure guide,TAS,155,"34,198","27,047","6,389","4,039","36,251","27,828"
4522 Outdoor adventure guide,VIC,806,"31,857","27,703","5,964","4,162","34,254","30,103"
4522 Outdoor adventure guide,WA,215,"33,941","27,392","6,671","4,228","36,135","30,079"
"4523 Sports coaches, instructors and officials",ACT,642,"38,420","23,651","8,044","2,280","40,140","24,582"
"4523 Sports coaches, instructors and officials",NSW,"9,591","36,028","24,463","6,483","2,507","37,871","25,960"
"4523 Sports coaches, instructors and officials",NT,200,"41,320","36,108","8,729","5,172","43,527","36,845"
"4523 Sports coaches, instructors and officials",QLD,"5,553","35,133","25,790","6,534","2,825","37,178","27,295"
"4523 Sports coaches, instructors and officials",SA,"1,845","34,272","24,217","6,208","2,318","36,181","25,465"
"4523 Sports coaches, instructors and officials",TAS,441,"33,444","25,153","6,334","3,010","35,091","25,575"
"4523 Sports coaches, instructors and officials",VIC,"8,710","34,996","23,040","6,272","2,120","36,832","24,237"
"4523 Sports coaches, instructors and officials",WA,"3,577","33,173","21,931","5,912","2,157","34,603","22,941"
4524 Sportsperson,ACT,241,"66,691","31,777","20,722","4,529","72,124","37,070"
4524 Sportsperson,NSW,"4,518","60,428","35,615","16,292","5,345","64,862","38,019"
4524 Sportsperson,NT,125,"31,100","28,152","5,445","3,724","32,195","28,630"
4524 Sportsperson,QLD,"2,479","54,927","32,835","14,355","4,284","59,110","35,099"
4524 Sportsperson,SA,858,"59,296","32,745","17,074","3,559","63,669","34,271"
4524 Sportsperson,TAS,251,"54,892","26,456","13,462","3,225","57,647","27,596"
4524 Sportsperson,VIC,"3,953","60,420","29,939","17,299","3,794","64,988","31,819"
4524 Sportsperson,WA,"1,350","59,114","32,999","16,402","4,510","62,695","34,823"
5100 Administrator - type not specified,ACT,7,"73,915","63,951","14,208","15,622","74,889","63,971"
5100 Administrator - type not specified,NSW,136,"46,248","41,763","8,798","6,924","47,165","42,721"
5100 Administrator - type not specified,QLD,85,"39,853","41,694","8,118","6,702","42,346","42,244"
5100 Administrator - type not specified,SA,31,"48,816","51,706","9,541","9,586","49,471","52,362"
5100 Administrator - type not specified,TAS,10,"39,887","45,510","5,154","6,207","40,203","45,869"
5100 Administrator - type not specified,VIC,122,"46,633","44,290","8,496","6,752","47,764","44,971"
5100 Administrator - type not specified,WA,35,"47,879","47,109","9,327","8,142","48,457","47,129"
"5111 Contract, program or project administrator",ACT,"15,539","80,127","77,990","20,764","20,068","81,516","79,064"
"5111 Contract, program or project administrator",NSW,"36,982","68,509","60,956","17,093","13,836","70,370","62,875"
"5111 Contract, program or project administrator",NT,"2,606","72,379","68,624","18,942","16,714","74,140","70,532"
"5111 Contract, program or project administrator",QLD,"32,062","62,299","57,797","14,839","12,333","63,824","59,115"
"5111 Contract, program or project administrator",SA,"10,227","59,956","55,399","13,694","11,426","61,253","56,641"
"5111 Contract, program or project administrator",TAS,"2,887","59,748","56,942","13,543","11,764","61,003","57,927"
"5111 Contract, program or project administrator",VIC,"30,582","65,226","59,020","16,037","13,006","67,044","60,883"
"5111 Contract, program or project administrator",WA,"14,509","70,293","63,102","18,167","14,520","71,963","64,763"
5121 Office administrator or manager,ACT,"3,509","65,903","59,612","14,116","12,167","67,950","61,320"
5121 Office administrator or manager,NSW,"62,165","57,388","48,648","10,961","8,607","59,203","50,337"
5121 Office administrator or manager,NT,"1,931","65,774","57,000","13,409","11,866","67,520","59,097"
5121 Office administrator or manager,QLD,"44,213","54,880","48,968","10,391","8,752","56,579","50,674"
5121 Office administrator or manager,SA,"12,831","53,878","48,116","9,784","8,119","55,469","49,619"
5121 Office administrator or manager,TAS,"3,387","53,295","46,660","9,503","7,874","54,709","48,032"
5121 Office administrator or manager,VIC,"53,712","55,774","48,049","10,317","8,372","57,600","49,885"
5121 Office administrator or manager,WA,"23,047","58,814","51,055","11,330","9,324","60,606","52,638"
5122 Practice manager,ACT,738,"104,111","82,474","25,731","20,020","107,852","85,530"
5122 Practice manager,NSW,"20,203","109,905","81,182","28,843","19,470","113,969","84,818"
5122 Practice manager,NT,433,"115,218","86,143","28,787","21,111","118,703","90,100"
5122 Practice manager,QLD,"10,407","94,859","73,258","24,576","17,090","98,958","76,764"
5122 Practice manager,SA,"4,951","86,517","71,934","21,004","16,371","89,880","74,882"
5122 Practice manager,TAS,"1,103","82,519","70,647","19,074","16,061","85,280","72,537"
5122 Practice manager,VIC,"20,373","100,084","77,933","26,389","18,828","104,225","81,511"
5122 Practice manager,WA,"6,132","112,078","83,962","30,156","20,510","115,710","86,655"
5211 Personal assistant,ACT,"1,237","65,272","65,357","15,045","15,080","66,644","66,907"
5211 Personal assistant,NSW,"15,887","65,314","62,966","14,783","14,145","67,261","65,089"
5211 Personal assistant,NT,355,"60,591","60,605","14,086","13,928","62,468","62,695"
5211 Personal assistant,QLD,"7,397","56,560","55,301","11,919","11,492","58,410","57,403"
5211 Personal assistant,SA,"2,806","55,643","54,942","11,456","11,230","57,254","56,629"
5211 Personal assistant,TAS,750,"55,140","54,294","11,301","10,871","56,309","55,585"
5211 Personal assistant,VIC,"12,540","61,397","58,788","13,258","12,572","63,456","61,044"
5211 Personal assistant,WA,"4,504","58,580","57,458","12,945","12,186","60,397","59,308"
5212 Secretary,ACT,432,"64,025","56,746","13,091","11,404","65,261","57,322"
5212 Secretary,NSW,"18,893","53,083","45,967","9,114","7,332","54,428","47,355"
5212 Secretary,NT,202,"60,123","56,111","11,267","10,840","61,372","57,288"
5212 Secretary,QLD,"6,995","49,545","45,817","8,511","7,611","50,898","47,005"
5212 Secretary,SA,"2,363","50,887","44,632","8,012","6,780","52,178","45,586"
5212 Secretary,TAS,640,"45,199","43,337","7,417","6,525","46,060","44,517"
5212 Secretary,VIC,"9,522","53,500","46,666","8,769","7,342","54,890","48,000"
5212 Secretary,WA,"4,088","55,784","49,824","9,743","8,262","57,131","51,142"
5300 Clerk - type not specified,ACT,9,"53,902","61,538","13,117","11,233","55,605","62,181"
5300 Clerk - type not specified,NSW,248,"53,921","52,632","10,759","9,975","54,994","53,509"
5300 Clerk - type not specified,QLD,72,"42,473","43,405","7,718","7,124","42,934","43,647"
5300 Clerk - type not specified,SA,46,"45,237","48,817","7,687","9,254","45,632","49,936"
5300 Clerk - type not specified,TAS,17,"45,693","36,836","9,050","7,725","45,987","37,076"
5300 Clerk - type not specified,VIC,101,"49,512","47,708","9,366","7,985","50,166","48,453"
5300 Clerk - type not specified,WA,50,"53,909","53,546","10,602","8,920","54,618","55,493"
5310 Public servant - administrative service officer - levels 3-4,ACT,"5,050","66,805","65,622","15,956","15,385","67,878","66,319"
5310 Public servant - administrative service officer - levels 3-4,NSW,"7,400","65,542","63,163","14,795","14,074","67,025","64,524"
5310 Public servant - administrative service officer - levels 3-4,NT,725,"67,827","67,894","16,721","16,170","69,516","69,511"
5310 Public servant - administrative service officer - levels 3-4,QLD,"7,511","64,496","63,238","14,610","14,127","65,781","64,288"
5310 Public servant - administrative service officer - levels 3-4,SA,"2,427","61,510","62,260","13,551","13,526","62,751","63,319"
5310 Public servant - administrative service officer - levels 3-4,TAS,"1,062","60,119","60,388","12,839","12,890","61,128","61,598"
5310 Public servant - administrative service officer - levels 3-4,VIC,"6,251","65,152","64,604","15,001","14,748","66,575","65,862"
5310 Public servant - administrative service officer - levels 3-4,WA,"3,103","69,879","69,465","17,094","16,582","71,180","70,550"
5311 Administration assistant or office worker,ACT,"5,582","56,061","50,819","10,995","9,134","57,522","51,942"
5311 Administration assistant or office worker,NSW,"99,081","47,140","40,561","7,860","6,032","48,449","41,850"
5311 Administration assistant or office worker,NT,"3,675","51,459","48,977","10,003","8,938","52,734","50,228"
5311 Administration assistant or office worker,QLD,"70,143","46,462","41,508","7,742","6,286","47,772","42,874"
5311 Administration assistant or office worker,SA,"19,858","45,794","41,600","7,310","5,921","46,962","42,673"
5311 Administration assistant or office worker,TAS,"6,254","44,661","41,259","7,288","6,065","45,678","42,252"
5311 Administration assistant or office worker,VIC,"78,554","47,037","39,880","7,292","5,470","48,355","41,145"
5311 Administration assistant or office worker,WA,"30,856","48,293","42,436","8,364","6,502","49,606","43,644"
5321 Keyboard operator,ACT,394,"45,600","42,039","9,011","6,768","46,328","42,724"
5321 Keyboard operator,NSW,"6,589","45,316","41,930","8,120","6,604","46,365","42,986"
5321 Keyboard operator,NT,112,"44,120","42,590","9,075","7,566","45,078","43,287"
5321 Keyboard operator,QLD,"3,118","42,791","41,807","7,659","6,590","43,704","42,666"
5321 Keyboard operator,SA,"1,289","44,857","43,243","7,929","6,722","45,777","44,003"
5321 Keyboard operator,TAS,352,"44,307","44,319","7,735","7,002","45,140","45,090"
5321 Keyboard operator,VIC,"4,545","41,236","39,276","7,375","5,961","42,194","40,190"
5321 Keyboard operator,WA,"1,887","44,946","42,255","8,677","7,149","45,832","43,206"
5411 Call or contact centre worker,ACT,359,"47,868","49,727","10,088","9,408","48,405","50,311"
5411 Call or contact centre worker,NSW,"9,874","45,384","45,024","9,043","7,815","46,331","45,933"
5411 Call or contact centre worker,NT,146,"52,309","54,204","11,992","11,723","53,431","55,308"
5411 Call or contact centre worker,QLD,"8,426","45,449","44,715","8,725","7,626","46,328","45,663"
5411 Call or contact centre worker,SA,"3,125","46,545","47,153","8,883","8,157","47,244","47,964"
5411 Call or contact centre worker,TAS,"1,561","50,675","50,016","10,099","9,264","51,496","50,710"
5411 Call or contact centre worker,VIC,"11,674","43,642","42,952","8,379","7,147","44,475","43,733"
5411 Call or contact centre worker,WA,"1,996","47,634","46,768","9,715","8,246","48,403","47,396"
5412 Inquiry clerk,ACT,265,"73,701","69,877","18,940","17,234","75,170","72,547"
5412 Inquiry clerk,NSW,"2,204","58,830","51,027","12,931","9,717","60,228","52,658"
5412 Inquiry clerk,NT,58,"62,753","62,460","16,136","13,746","64,187","62,846"
5412 Inquiry clerk,QLD,"1,063","59,774","56,454","13,537","12,025","61,115","57,894"
5412 Inquiry clerk,SA,351,"54,337","52,752","11,725","10,289","55,400","54,216"
5412 Inquiry clerk,TAS,161,"53,656","52,777","11,201","9,591","54,502","53,384"
5412 Inquiry clerk,VIC,"1,161","55,052","49,799","12,450","9,912","56,333","51,410"
5412 Inquiry clerk,WA,719,"57,966","56,100","13,182","11,906","59,306","57,408"
5421 Receptionist,ACT,"2,059","38,323","35,674","6,020","4,473","38,993","36,160"
5421 Receptionist,NSW,"37,369","37,799","35,537","5,709","4,486","38,759","36,505"
5421 Receptionist,NT,"1,060","38,145","38,223","6,728","5,898","39,038","39,121"
5421 Receptionist,QLD,"23,118","36,804","35,604","5,444","4,528","37,715","36,548"
5421 Receptionist,SA,"8,228","37,962","36,618","5,459","4,587","38,834","37,319"
5421 Receptionist,TAS,"2,590","37,466","36,364","5,671","4,799","38,261","36,964"
5421 Receptionist,VIC,"30,496","37,309","34,984","5,406","4,309","38,310","35,981"
5421 Receptionist,WA,"14,762","38,812","36,635","5,997","4,806","39,690","37,399"
5511 Accounting clerk,ACT,"1,607","60,665","59,400","13,240","12,722","62,133","60,755"
5511 Accounting clerk,NSW,"35,303","56,145","50,100","11,690","9,360","57,720","51,634"
5511 Accounting clerk,NT,877,"59,750","57,812","13,443","11,924","61,424","59,317"
5511 Accounting clerk,QLD,"16,731","52,707","49,986","10,448","9,265","54,142","51,331"
5511 Accounting clerk,SA,"6,362","50,588","48,723","9,518","8,566","51,821","49,842"
5511 Accounting clerk,TAS,"1,607","49,247","46,825","9,017","8,017","50,328","47,927"
5511 Accounting clerk,VIC,"22,145","53,229","48,635","10,688","8,894","54,912","50,247"
5511 Accounting clerk,WA,"10,316","56,032","50,707","11,185","9,713","57,391","52,105"
5512 Bookkeeper,ACT,387,"53,891","44,553","9,086","6,934","55,933","46,967"
5512 Bookkeeper,NSW,"10,673","47,316","39,435","7,610","5,500","49,053","41,141"
5512 Bookkeeper,NT,391,"57,376","49,990","11,583","9,281","59,376","52,302"
5512 Bookkeeper,QLD,"6,808","45,729","39,204","7,396","5,611","47,582","41,118"
5512 Bookkeeper,SA,"2,031","44,061","38,520","6,733","5,000","45,966","40,098"
5512 Bookkeeper,TAS,442,"43,639","37,278","6,283","4,680","45,137","39,114"
5512 Bookkeeper,VIC,"12,396","47,549","39,650","7,344","5,387","49,253","41,392"
5512 Bookkeeper,WA,"5,053","51,127","43,991","8,840","6,825","52,832","45,619"
5513 Payroll clerk,ACT,286,"66,104","67,591","15,221","15,697","66,919","68,578"
5513 Payroll clerk,NSW,"4,829","61,323","59,225","13,564","12,636","62,663","60,762"
5513 Payroll clerk,NT,165,"55,801","58,436","12,593","12,476","56,811","59,742"
5513 Payroll clerk,QLD,"2,799","55,819","55,421","11,880","11,267","56,932","56,564"
5513 Payroll clerk,SA,"1,104","54,035","54,253","11,051","10,654","55,060","55,182"
5513 Payroll clerk,TAS,300,"55,264","53,523","11,468","10,656","56,163","54,602"
5513 Payroll clerk,VIC,"3,796","57,052","55,321","12,044","11,169","58,384","56,774"
5513 Payroll clerk,WA,"1,698","58,661","58,791","12,665","12,752","59,682","59,968"
"5521 Bank teller, officer or employee",ACT,637,"61,354","54,739","14,908","11,496","63,249","56,031"
"5521 Bank teller, officer or employee",NSW,"25,582","85,601","60,591","22,650","13,186","87,897","62,402"
"5521 Bank teller, officer or employee",NT,329,"55,813","52,170","12,166","10,659","57,471","53,242"
"5521 Bank teller, officer or employee",QLD,"10,669","61,634","54,224","14,059","10,674","63,685","55,897"
"5521 Bank teller, officer or employee",SA,"4,657","59,804","54,042","12,790","10,299","61,410","55,229"
"5521 Bank teller, officer or employee",TAS,"1,125","54,295","50,392","11,080","9,267","55,905","51,552"
"5521 Bank teller, officer or employee",VIC,"19,170","70,575","58,811","17,489","12,701","72,778","60,745"
"5521 Bank teller, officer or employee",WA,"6,044","62,233","55,606","14,628","11,373","63,935","57,050"
5522 Credit or loans officer,ACT,53,"64,641","64,358","15,239","13,841","66,827","66,222"
5522 Credit or loans officer,NSW,"3,889","72,831","64,061","18,470","14,843","75,613","66,544"
5522 Credit or loans officer,NT,30,"74,908","73,882","17,777","17,122","77,443","75,010"
5522 Credit or loans officer,QLD,"1,512","64,218","58,694","15,209","12,405","66,757","61,119"
5522 Credit or loans officer,SA,694,"61,873","59,328","13,767","12,565","64,062","61,067"
5522 Credit or loans officer,TAS,112,"63,609","60,178","14,060","13,307","65,386","61,841"
5522 Credit or loans officer,VIC,"2,745","68,876","61,358","16,841","13,662","71,614","63,939"
5522 Credit or loans officer,WA,604,"63,062","59,703","14,968","13,082","65,468","61,183"
"5523 Insurance, money market or statistical clerk",ACT,224,"63,753","64,015","14,798","14,568","65,597","64,934"
"5523 Insurance, money market or statistical clerk",NSW,"10,373","81,760","64,787","21,775","15,026","84,062","66,748"
"5523 Insurance, money market or statistical clerk",NT,145,"70,285","68,639","16,984","15,170","72,328","71,070"
"5523 Insurance, money market or statistical clerk",QLD,"4,483","64,236","57,531","15,501","12,038","66,180","59,136"
"5523 Insurance, money market or statistical clerk",SA,"1,781","57,923","54,797","12,641","10,975","59,642","55,991"
"5523 Insurance, money market or statistical clerk",TAS,372,"56,159","52,844","12,185","10,647","57,855","53,998"
"5523 Insurance, money market or statistical clerk",VIC,"6,985","70,269","61,166","17,765","13,464","72,374","62,635"
"5523 Insurance, money market or statistical clerk",WA,"1,963","64,724","59,432","15,282","12,638","66,379","60,638"
5610 Public servant - administrative service officer - levels 1-2,ACT,"1,446","67,931","61,410","15,811","12,998","69,106","62,573"
5610 Public servant - administrative service officer - levels 1-2,NSW,"4,004","61,322","56,397","13,100","11,137","62,840","57,576"
5610 Public servant - administrative service officer - levels 1-2,NT,271,"62,152","60,445","15,082","13,615","63,628","61,485"
5610 Public servant - administrative service officer - levels 1-2,QLD,"3,304","57,654","55,043","12,073","10,910","59,019","56,217"
5610 Public servant - administrative service officer - levels 1-2,SA,"1,492","55,326","53,238","10,990","10,139","56,602","54,420"
5610 Public servant - administrative service officer - levels 1-2,TAS,340,"55,923","53,186","11,205","10,182","56,976","53,774"
5610 Public servant - administrative service officer - levels 1-2,VIC,"3,977","58,893","54,990","12,166","10,716","60,484","56,603"
5610 Public servant - administrative service officer - levels 1-2,WA,"1,780","63,743","62,112","13,984","13,598","65,154","63,643"
5611 Betting clerk,ACT,26,"41,805","39,877","6,811","5,816","42,455","42,253"
5611 Betting clerk,NSW,654,"40,988","35,987","7,650","5,114","42,476","37,280"
5611 Betting clerk,NT,133,"47,304","44,480","10,149","8,621","48,485","46,559"
5611 Betting clerk,QLD,403,"36,986","32,403","5,735","3,301","38,003","32,825"
5611 Betting clerk,SA,120,"32,145","29,447","4,524","1,780","33,617","30,405"
5611 Betting clerk,TAS,38,"44,745","36,539","6,951","4,985","45,983","37,534"
5611 Betting clerk,VIC,571,"40,527","37,138","6,514","5,035","42,012","38,242"
5611 Betting clerk,WA,216,"35,256","30,535","5,643","3,708","36,127","30,943"
5612 Courier or postal deliverer,ACT,478,"53,287","54,898","11,521","11,363","55,193","56,242"
5612 Courier or postal deliverer,NSW,"8,396","50,134","50,739","10,163","9,916","52,110","52,684"
5612 Courier or postal deliverer,NT,133,"53,275","55,490","10,846","11,220","54,773","57,035"
5612 Courier or postal deliverer,QLD,"4,695","46,298","45,706","8,951","8,379","47,951","47,445"
5612 Courier or postal deliverer,SA,"1,611","45,789","46,510","8,715","8,487","47,228","47,531"
5612 Courier or postal deliverer,TAS,634,"46,578","45,539","8,921","7,846","47,831","47,186"
5612 Courier or postal deliverer,VIC,"6,232","48,157","47,385","9,683","9,061","50,340","49,585"
5612 Courier or postal deliverer,WA,"2,530","47,591","49,167","9,542","9,816","49,166","50,735"
5613 Filing clerk,ACT,21,"49,665","44,952","7,210","4,309","54,628","44,952"
5613 Filing clerk,NSW,680,"38,284","32,291","5,572","3,628","39,691","33,313"
5613 Filing clerk,NT,11,"41,109","39,309","6,946","4,508","41,441","40,203"
5613 Filing clerk,QLD,258,"36,166","28,536","5,512","2,994","37,583","28,766"
5613 Filing clerk,SA,103,"36,769","31,827","5,002","3,486","37,240","32,076"
5613 Filing clerk,TAS,30,"45,131","39,254","5,787","5,848","45,781","43,051"
5613 Filing clerk,VIC,350,"38,153","30,420","4,800","3,105","39,497","31,258"
5613 Filing clerk,WA,248,"38,840","34,492","6,382","4,487","39,474","34,667"
5614 Mail sorter,ACT,164,"52,038","52,737","9,881","10,330","52,918","53,298"
5614 Mail sorter,NSW,"2,883","54,306","56,152","11,450","11,488","55,770","57,459"
5614 Mail sorter,NT,50,"53,052","57,565","11,766","12,356","54,347","59,041"
5614 Mail sorter,QLD,"1,411","47,392","48,007","9,182","8,756","48,611","49,091"
5614 Mail sorter,SA,457,"48,077","46,755","9,060","8,139","48,972","47,564"
5614 Mail sorter,TAS,116,"46,811","44,516","9,500","7,928","47,635","45,105"
5614 Mail sorter,VIC,"2,233","50,870","51,013","10,317","9,958","52,648","53,055"
5614 Mail sorter,WA,860,"55,092","48,731","10,104","9,386","56,112","49,666"
5615 Market research interviewer,ACT,36,"46,673","32,588","5,432","1,708","50,700","35,078"
5615 Market research interviewer,NSW,963,"29,854","23,586","4,747","1,883","31,384","24,341"
5615 Market research interviewer,NT,30,"31,889","26,712","4,610","2,736","35,171","27,386"
5615 Market research interviewer,QLD,489,"29,360","22,626","4,116","1,828","30,837","23,673"
5615 Market research interviewer,SA,188,"27,659","24,292","3,422","1,735","29,578","25,773"
5615 Market research interviewer,TAS,87,"24,131","19,348","2,980","1,147","25,946","19,777"
5615 Market research interviewer,VIC,"1,207","28,004","22,386","4,215","1,832","29,063","22,876"
5615 Market research interviewer,WA,273,"26,867","23,366","4,235","2,241","28,363","24,573"
5616 Switchboard operator,ACT,62,"44,143","43,668","8,078","7,576","44,701","43,938"
5616 Switchboard operator,NSW,738,"46,184","45,702","8,872","8,004","47,162","47,025"
5616 Switchboard operator,NT,29,"54,157","47,967","12,491","10,762","55,214","48,752"
5616 Switchboard operator,QLD,403,"46,912","44,595","9,222","7,644","47,723","45,268"
5616 Switchboard operator,SA,189,"40,321","40,691","6,557","5,906","41,579","41,876"
5616 Switchboard operator,TAS,72,"54,091","51,228","9,491","9,193","55,568","52,473"
5616 Switchboard operator,VIC,570,"41,776","40,340","7,177","5,945","42,511","41,038"
5616 Switchboard operator,WA,274,"47,239","42,432","9,730","7,260","48,101","44,149"
5619 Other clerical or office support worker,ACT,93,"42,069","40,003","8,279","6,338","43,033","40,344"
5619 Other clerical or office support worker,NSW,"2,035","40,538","35,784","7,223","5,281","42,006","37,426"
5619 Other clerical or office support worker,NT,53,"40,286","32,162","6,758","4,210","41,247","33,648"
5619 Other clerical or office support worker,QLD,"1,094","38,499","36,725","6,399","5,133","39,712","37,889"
5619 Other clerical or office support worker,SA,471,"37,677","33,911","6,242","4,212","39,094","36,253"
5619 Other clerical or office support worker,TAS,210,"44,445","43,811","8,401","7,639","45,517","45,582"
5619 Other clerical or office support worker,VIC,"1,576","44,166","39,505","8,542","6,288","45,936","42,311"
5619 Other clerical or office support worker,WA,735,"36,857","32,243","6,432","4,255","38,169","33,845"
5911 Purchasing or supply logistics clerk,ACT,783,"47,532","43,249","9,514","7,202","48,735","44,600"
5911 Purchasing or supply logistics clerk,NSW,"29,130","52,004","48,598","11,220","9,211","53,893","50,443"
5911 Purchasing or supply logistics clerk,NT,745,"51,292","49,360","11,328","9,664","52,971","51,231"
5911 Purchasing or supply logistics clerk,QLD,"15,988","51,615","48,709","10,777","8,990","53,277","50,402"
5911 Purchasing or supply logistics clerk,SA,"4,657","51,939","49,775","10,504","9,223","53,342","51,244"
5911 Purchasing or supply logistics clerk,TAS,"1,292","46,460","44,984","8,743","7,681","47,578","46,266"
5911 Purchasing or supply logistics clerk,VIC,"22,929","52,323","49,322","11,146","9,516","54,407","51,724"
5911 Purchasing or supply logistics clerk,WA,"8,791","56,428","51,846","12,737","10,292","57,875","53,393"
5912 Receiving and dispatching clerk,ACT,65,"79,675","74,017","20,702","18,251","81,607","75,050"
5912 Receiving and dispatching clerk,NSW,"5,657","64,980","60,762","15,385","13,522","67,477","62,975"
5912 Receiving and dispatching clerk,NT,137,"69,772","64,407","17,802","15,834","72,009","66,268"
5912 Receiving and dispatching clerk,QLD,"3,372","61,241","57,620","14,061","12,329","63,296","59,692"
5912 Receiving and dispatching clerk,SA,964,"59,354","57,211","12,915","11,760","61,180","58,577"
5912 Receiving and dispatching clerk,TAS,241,"61,109","56,982","12,848","12,124","62,447","57,962"
5912 Receiving and dispatching clerk,VIC,"4,934","62,839","57,998","14,033","12,380","65,402","60,343"
5912 Receiving and dispatching clerk,WA,"1,894","67,393","63,066","16,617","14,365","69,586","65,007"
5991 Conveyancer or legal executive,ACT,304,"55,854","47,167","13,427","10,014","57,334","48,121"
5991 Conveyancer or legal executive,NSW,"4,477","60,183","47,884","13,873","9,025","62,434","50,143"
5991 Conveyancer or legal executive,NT,65,"67,923","68,378","16,855","15,760","70,215","68,826"
5991 Conveyancer or legal executive,QLD,"2,180","53,615","50,775","11,326","9,852","55,593","52,501"
5991 Conveyancer or legal executive,SA,595,"64,222","56,792","13,110","10,916","66,446","59,061"
5991 Conveyancer or legal executive,TAS,93,"64,162","57,769","14,327","11,926","65,456","59,283"
5991 Conveyancer or legal executive,VIC,"2,483","58,817","48,339","13,628","9,262","61,053","50,538"
5991 Conveyancer or legal executive,WA,922,"67,513","55,425","15,766","11,722","69,482","56,826"
